id,name,now_cost,position,team,starts,penalties_missed,own_goals,ep_next,influence,news,total_points,creativity_rank_type,expected_goals_conceded_per_90,influence_rank_type,goals_conceded_per_90,bonus,penalties_order,expected_goal_involvements,selected_rank_type,news_added,ict_index,value_season,expected_goals_per_90,transfers_out_event,web_name,form_rank_type,expected_assists_per_90,form,expected_assists,clean_sheets_per_90,clean_sheets,threat_rank,goals_scored,penalties_saved,minutes,threat,goals_conceded,red_cards,can_select,now_cost_rank_type,event_points,ep_this,chance_of_playing_this_round,in_dreamteam,transfers_in_event,chance_of_playing_next_round,value_form,cost_change_start,status,points_per_game_rank,cost_change_event,cost_change_start_fall,yellow_cards,transfers_in,corners_and_indirect_freekicks_order,selected_rank,ict_index_rank_type,direct_freekicks_order,influence_rank,now_cost_rank,expected_goal_involvements_per_90,creativity,points_per_game_rank_type,expected_goals,transfers_out,form_rank,region,bps,dreamteam_count,saves,saves_per_90,selected_by_percent,expected_goals_conceded,creativity_rank,cost_change_event_fall,points_per_game,assists,starts_per_90,threat_rank_type,ict_index_rank
329,Alexis Mac Allister,62,MID,Liverpool,12,0,0,1.7,149.0,,25,49,0.93,85,0.64,0,,2.22,54,2024-12-05T00:30:08.282606Z,50.9,4.0,0.05,1241,Mac Allister,131,0.15,1.2,1.65,0.55,6,127,0,0,984,126.0,7,0,True,42,0,0.0,0.0,False,1103,100.0,0.2,-3,a,282,0,3,5,97127,4.0,188,72,,211,65,0.2,233.2,131,0.57,258804,254,10.0,158,0,0,0.0,1.3,10.17,62,0,1.8,0,1.1,83,125
330,James McConnell,44,MID,Liverpool,0,0,0,0.5,0.0,,0,232,0.0,228,0.0,0,,0.00,188,2024-09-10T11:24:32.362482Z,0.0,0.0,0.0,147,McConnell,194,0.0,0.0,0.00,0.0,0,542,0,0,0,0.0,0,0,True,305,0,1.0,100.0,False,69,100.0,0.0,-1,a,577,0,1,0,7723,,497,230,,570,519,0.0,0.0,232,0.00,7085,523,241.0,0,0,0,0.0,0.1,0.00,565,0,0.0,0,0.0,223,572
331,Tyler Morton,44,MID,Liverpool,0,0,0,0.5,0.0,,0,231,0.0,227,0.0,0,,0.00,141,2024-09-10T11:27:39.864039Z,0.0,0.0,0.0,415,Morton,192,0.0,0.0,0.00,0.0,0,540,0,0,0,0.0,0,0,True,303,0,1.0,100.0,False,123,100.0,0.0,-1,a,575,0,1,0,27913,,408,229,,568,514,0.0,0.0,231,0.00,21913,520,241.0,0,0,0,0.0,0.1,0.00,563,0,0.0,0,0.0,222,570
332,Nathaniel Phillips,40,DEF,Liverpool,0,0,0,0.0,0.0,Loaned to Derby County,0,173,0.0,174,0.0,0,,0.00,172,2024-08-31T06:18:33.693343Z,0.0,0.0,0.0,39,N.Phillips,148,0.0,0.0,0.00,0.0,0,437,0,0,0,0.0,0,0,False,171,0,0.0,0.0,False,0,0.0,0.0,0,u,501,0,0,0,4026,,474,174,,496,615,0.0,0.0,172,0.00,16502,421,,0,0,0,0.0,0.1,0.00,477,0,0.0,0,0.0,156,498
333,Jarell Quansah,39,DEF,Liverpool,2,0,0,1.0,46.8,,3,140,1.75,121,2.09,0,,0.12,66,2024-08-23T09:30:06.099816Z,5.3,0.8,0.0,3429,Quansah,99,0.06,0.5,0.12,0.0,0,385,0,0,172,2.0,4,0,True,227,1,1.5,100.0,False,8725,100.0,0.1,-6,a,453,0,6,1,179045,,156,133,,348,690,0.06,3.9,151,0.00,588351,323,241.0,11,0,0,0.0,1.7,3.34,402,0,0.8,0,1.05,133,392
334,Rhys Williams,40,DEF,Liverpool,0,0,0,0.0,0.0,Loaned to Morecambe,0,176,0.0,177,0.0,0,,0.00,182,2024-08-22T11:18:16.485954Z,0.0,0.0,0.0,29,R.Williams,151,0.0,0.0,0.00,0.0,0,443,0,0,0,0.0,0,0,False,175,0,0.0,0.0,False,0,0.0,0.0,0,u,506,0,0,0,828,,505,177,,502,622,0.0,0.0,174,0.00,13566,427,,0,0,0,0.0,0.1,0.00,483,0,0.0,0,0.0,159,504
335,Andrew Robertson,59,DEF,Liverpool,13,0,0,1.7,162.0,,44,7,1.01,73,1.04,2,,2.17,25,,55.8,7.5,0.04,46929,Robertson,73,0.15,1.2,1.74,0.52,6,173,0,0,1041,88.0,12,1,True,7,-3,2.2,,False,1450,,0.2,-1,a,115,0,1,1,914037,2.0,71,22,,195,81,0.19,309.6,31,0.43,874374,251,243.0,200,0,0,0.0,5.5,11.68,39,0,3.1,0,1.12,35,104
336,Dominik Szoboszlai,63,MID,Liverpool,11,0,0,4.5,179.2,,43,26,0.94,69,0.79,4,,4.09,47,,72.3,6.8,0.17,3158,Szoboszlai,31,0.19,4.0,2.19,0.44,5,75,1,0,1025,193.0,9,0,True,34,2,5.0,,False,1248,,0.6,-2,a,141,0,2,3,247478,5.0,167,38,2.0,181,56,0.36,348.8,59,1.90,346845,59,98.0,222,0,0,0.0,1.5,10.66,31,0,2.9,2,0.97,45,61
337,Konstantinos Tsimikas,46,DEF,Liverpool,2,0,0,0.1,61.0,Knock - 25% chance of playing,13,70,0.79,115,0.39,1,,0.67,144,2024-11-25T09:30:07.571904Z,13.5,2.8,0.03,329,Tsimikas,224,0.23,0.0,0.59,0.39,1,311,0,0,228,19.0,1,0,True,48,0,0.2,25.0,False,31,25.0,0.0,-4,d,216,0,4,0,22839,3.0,393,106,,330,347,0.26,53.2,67,0.08,56091,616,83.0,68,0,0,0.0,0.2,2.00,261,0,2.2,0,0.79,99,324
339,Virgil van Dijk,65,DEF,Liverpool,15,0,0,2.7,343.8,,65,57,0.99,13,0.87,3,,1.22,3,,55.1,10.0,0.06,46474,Virgil,38,0.02,2.2,0.32,0.47,7,120,1,0,1350,135.0,13,0,True,2,1,3.2,,True,18254,,0.3,5,a,38,1,-5,1,2042546,,11,23,3.0,43,45,0.08,73.1,6,0.90,915349,149,152.0,274,0,0,0.0,25.3,14.78,222,-1,4.3,1,1.0,12,106
